dataset;ranking;levels;performance
amazon-tools.csv;BMF,SVD++,SIAFM,SCAFM,SUAFM,GA,UIB,MF,LFLLM;1,2,3,4,5,6,6,7,8;0,0.0202246080724328,0.0363243010022537,0.0364545167114984,0.0402932106669378,0.0974925648549338,0.0974925648549338,0.114627106187065,1
amazon-toys.csv;BMF,SVD++,SIAFM,SCAFM,SUAFM,GA,UIB,MF,LFLLM;1,2,3,4,5,6,6,7,8;0,0.0350925042122824,0.05634830388194,0.0565479204189874,0.0623858533710709,0.130129729998921,0.130129729998921,0.142623899204024,1
bookcrossing.csv;BMF,SVD++,SUAFM,SCAFM,SIAFM,GA,MF,UIB,LFLLM;1,2,3,4,5,6,6,6,7;0,0.0131834326201275,0.0323113509094059,0.0324917202892158,0.0335824178868752,0.0771303146859054,0.0822788285856913,0.0771303146859054,1
flixter.csv;BMF,MF,SVD++,LFLLM,SUAFM,SIAFM,SCAFM,GA,UIB;1,2,3,4,4,5,6,7,7;0.48886175,0.4923504,0.51362995,0.6227637,0.5301361,0.53522585,0.536206,0.6427675,0.6427675
jester1.csv;SUAFM,SVD++,MF,SIAFM,LFLLM,BMF,GA,UIB;1,1,2,3,4,5,5,5;0,0.661941904258414,0.701554952716103,0.723556143706369,0.736233610423215,1,0.940946669556086,0.940946669556086
jester2.csv;SUAFM,SVD++,MF,SIAFM,LFLLM,BMF,GA,UIB;1,1,2,3,4,5,5,5;0,0.658003565212669,0.69636925069783,0.715950991591821,0.729162016326383,1,0.939399245051711,0.939399245051711
jester3.csv;SIAFM,SUAFM,LFLLM,SCAFM,SVD++,MF,GA,UIB,BMF;1,1,2,2,2,3,4,4,5;0.582460235093999,0,0.631320829073194,0.00691160044563423,0.640597457808397,0.751494613918009,0.77089501222001,0.77089501222001,1
movielens100k.csv;BMF,MF,SCAFM,SVD++,LFLLM,SIAFM,SUAFM,GA,UIB;1,2,2,2,3,3,4,5,5;0.5613341,0.56891355,0.56447115,0.5651599,0.56869745,0.5681546,0.56978105,0.6809215,0.6809215
movielens10m.csv;BMF,MF,LFLLM,SVD++,GA,SIAFM,SUAFM,SCAFM,UIB;1,1,2,2,3,3,4,5,6;0.46304985,0.46431545,0.51163125,0.4973381,0.5538034,0.51556055,0.52080715,0.52191245,0.6252748
movielens1m.csv;MF,BMF,SVD++,LFLLM,SIAFM,SUAFM,SCAFM,GA,UIB;1,2,3,4,5,6,7,8,8;0.5112006,0.51215925,0.53244905,0.53819755,0.542921,0.54315615,0.5457705,0.6752827,0.6752827
movielens20m.csv;BMF,MF,LFLLM,SVD++,SIAFM,GA,UIB;1,2,3,3,4,5,5;0.45716055,0.4588707,0.51078345,0.4915643,0.51141965,0.61942225,0.61942225
movielens_latest.csv;BMF,MF,LFLLM,SVD++,SIAFM,GA,UIB;1,2,3,3,4,5,5;0.4643982,0.46645185,0.51735585,0.4985647,0.51793165,0.6232103,0.6232103
movietweetings_latest.csv;SCAFM,SIAFM,SUAFM,SVD++,MF,BMF,GA,UIB,LFLLM;1,2,2,3,4,5,6,6,7;0,0.00361455276008885,0.00638851717003979,0.031887563651913,0.116130548764437,0.135411401205129,0.259962574620642,0.259962574620642,1
movietweetings_recsys2014.csv;GA,UIB,LFLLM,BMF,SUAFM,SIAFM,SCAFM;1,1,2,3,4,5,6;0,0,0.127240092614946,0.759135793005852,0.950569319076968,0.964192671278247,1
tripadvisor.csv;SIAFM,BMF,SCAFM,SUAFM,GA,UIB,LFLLM;1,2,3,4,5,5,6;0,0.108648519549919,0.24036052929755,0.282235844049005,0.363622402734256,0.363622402734256,1
yahoo-movies.csv;BMF,SVD++,MF,SCAFM,SIAFM,SUAFM,LFLLM,GA,UIB;1,2,3,3,4,5,6,7,7;0.60220565,0.6059137,0.6298789,0.62051405,0.62351145,0.6249385,0.7042988,0.71861355,0.71861355
yahoo-music.csv;SVD++,GA,SUAFM,UIB,SCAFM,SIAFM,BMF,LFLLM;1,2,2,2,3,4,5,6;0,0.0951224147948652,0.11756008791852,0.0951224147948652,0.132167688309213,0.198814934070612,0.241185328211351,1
yelp.csv;BMF,SVD++,SIAFM,SCAFM,SUAFM,GA,UIB,MF,LFLLM;1,2,3,4,5,6,6,7,8;0.7397587,0.74435465,0.751815,0.7520393,0.75330365,0.82537835,0.82537835,0.8504203,0.87969435
